date,temperature,humidity,luminosity
2022-11-17 15:23:58.815,25.0,35.2,121
2022-11-17 15:23:53.771,24.9,35.4,116
2022-11-17 15:23:48.728,25.0,35.4,116
2022-11-17 15:23:43.684,24.9,35.4,107
2022-11-17 15:23:38.639,24.9,35.4,111
2022-11-17 15:23:33.597,24.9,35.4,118
2022-11-17 15:23:28.553,24.9,35.4,118
2022-11-17 15:23:23.510,24.9,35.5,117
2022-11-17 15:23:18.467,24.9,35.5,116
2022-11-17 15:23:13.423,24.9,35.4,118
2022-11-17 15:23:08.379,24.9,35.5,117
2022-11-17 15:23:03.335,24.9,35.5,117
2022-11-17 15:22:58.291,24.9,35.6,118
2022-11-17 15:22:53.247,24.9,35.5,117
2022-11-17 15:22:48.204,24.9,35.6,120
2022-11-17 15:22:43.161,24.9,35.8,120
2022-11-17 15:22:38.117,24.9,35.7,118
2022-11-17 15:22:33.073,24.8,35.5,115
2022-11-17 15:22:28.030,24.9,35.5,116
2022-11-17 15:22:22.987,24.8,35.4,125
2022-11-17 15:22:17.944,24.8,35.5,121
2022-11-17 15:22:12.901,24.8,35.4,119
2022-11-17 15:22:07.856,24.9,35.3,120
2022-11-17 15:22:02.813,24.8,35.2,144
2022-11-17 15:21:57.770,24.8,35.2,145
2022-11-17 15:21:52.727,24.8,35.2,156
2022-11-17 15:21:47.684,24.8,35.2,158
2022-11-17 15:21:42.641,24.8,35.3,164
2022-11-17 15:21:37.598,24.8,35.2,165
2022-11-17 15:21:32.556,24.8,35.2,180
2022-11-17 15:21:27.513,24.8,35.3,182
2022-11-17 15:21:22.469,24.8,35.3,187
2022-11-17 15:21:17.425,24.8,35.4,193
2022-11-17 15:21:12.382,24.8,35.4,194
2022-11-17 15:21:07.337,24.8,35.3,173
2022-11-17 15:21:02.295,24.8,35.3,174
2022-11-17 15:20:57.252,24.8,35.3,169
2022-11-17 15:20:52.209,24.8,35.0,198
2022-11-17 15:20:47.166,24.8,35.0,196
2022-11-17 15:20:42.123,24.8,34.9,178
2022-11-17 15:20:37.080,24.8,35.0,179
2022-11-17 15:20:32.037,24.8,34.9,177
2022-11-17 15:20:26.993,24.8,34.9,174
2022-11-17 15:20:21.950,24.8,34.9,181
2022-11-17 15:20:16.907,24.8,35.0,253
2022-11-17 15:20:11.864,24.8,35.0,253
2022-11-17 15:20:06.821,24.8,34.9,262
2022-11-17 15:20:01.779,24.9,35.0,259
2022-11-17 15:19:56.736,24.9,34.9,259
2022-11-17 15:19:51.692,24.8,34.9,258
2022-11-17 15:19:46.648,24.9,35.0,265
2022-11-17 15:19:41.606,24.9,34.9,262
2022-11-17 15:19:36.562,24.9,35.0,257
2022-11-17 15:19:31.519,24.9,35.1,247
2022-11-17 15:19:26.475,24.9,35.0,242
2022-11-17 15:19:21.432,24.9,35.0,239
2022-11-17 15:19:16.388,24.9,34.9,234
2022-11-17 15:19:11.344,24.9,34.9,231
2022-11-17 15:19:06.301,24.9,34.9,223
2022-11-17 15:19:01.258,24.9,34.9,223
2022-11-17 15:18:56.214,24.9,35.1,200
2022-11-17 15:18:51.172,24.9,35.0,212
2022-11-17 15:18:46.127,24.9,35.0,212
2022-11-17 15:18:41.084,25.0,35.0,212
2022-11-17 15:18:36.039,24.9,35.1,211
2022-11-17 15:18:30.995,25.0,35.1,210
2022-11-17 15:18:25.952,25.0,35.0,210
2022-11-17 15:18:20.909,24.9,34.9,210
2022-11-17 15:18:15.865,25.0,35.0,207
2022-11-17 15:18:10.821,25.0,35.1,196
2022-11-17 15:18:05.778,25.0,35.1,205
2022-11-17 15:18:00.734,25.0,35.2,174
2022-11-17 15:17:55.689,25.0,35.1,175
2022-11-17 15:17:50.647,25.0,35.2,174
2022-11-17 15:17:45.602,25.0,35.2,172
2022-11-17 15:17:40.560,25.0,35.2,173
